Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
discrete,string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous
class,meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
@soniarolley,RT @alexanderdecroo: #RDC: La Belgique mobilise 6 millions d euro d aide humanitaire supplementaire pour situation humanitaire alarmante ht…,2017-09-20 22:40:51,fr,,0.0,17.0,,Sonia Rolley,"Journaliste @RFI, Envoyee speciale permanente a Kinshasa #RDC #Burundi #Rwanda",38205.0,1044.0,1343.0,213571.0,832.0,True,,
@soniarolley,"#RDC #Belgique : Pr @alexanderdecroo, l absence d’elections credibles contribue au climat de violence et d’impunite. https://t.co/u4yAQv9Npf",2017-09-20 22:40:30,fr,,1.0,1.0,,Sonia Rolley,"Journaliste @RFI, Envoyee speciale permanente a Kinshasa #RDC #Burundi #Rwanda",38205.0,1044.0,1343.0,213571.0,832.0,True,,
@pierrotsabiosn1,@soniarolley ca se passe toujours en RDC,2017-09-20 22:37:38,fr,,0.0,0.0,@soniarolley,Pierrot Nlandu,,311.0,2.0,1550.0,465.0,0.0,False,,
@NMarizo,"RT @soniarolley: #RDC #Burundi #Kamanyola : la delegation de l Union Europeenne et les ambassades des pays de l UE condamnent les ""violence…",2017-09-20 22:34:11,fr,,0.0,46.0,,Congolisme,"La RDCongo. Contre la mediocratie. Pour l excellence.
 Goma, Lubumbashi, #London and #Kinshasa",1487.0,190.0,2963.0,1068.0,3.0,False,,
@BENDELEKWEYATE1,@soniarolley @mathifr2 @RFI Pedophilie: le cardinal Barbarin juge en avril pour non-denonciation,2017-09-20 21:59:54,fr,,0.0,0.0,@soniarolley,BENDELE,,8033.0,8214.0,845.0,422.0,11.0,False,,
@mande162,"RT @soniarolley: #RDC #Burundi #Kamanyola : la delegation de l Union Europeenne et les ambassades des pays de l UE condamnent les ""violence…",2017-09-20 21:57:52,fr,,0.0,46.0,,mandela,,4454.0,1720.0,123.0,106.0,6.0,False,,
@direct_congo,RT @JLTshimbalanga: Il n existe nulle part au monde des #passeports semi-biometriques sauf ds 1pouvoir illegitime en #RDC. @mashanubian @id…,2017-09-20 21:42:18,fr,,0.0,2.0,,CongoDirect,L information de la Republique democratique du Congo en direct,18423.0,77.0,277.0,547.0,2.0,False,,
@muntudidier1,@soniarolley @RFIAfrique Une insulte a notre tribu,2017-09-20 21:35:48,fr,,0.0,0.0,@soniarolley,Didier Muntu,,489.0,13605.0,127.0,180.0,1.0,False,,
@kanyerepierrot,"RT @kanyerepierrot: @soniarolley Personne n achetera ces passeports de la honte, tant que le SEMI-biometrique sera encore valide... trop c…",2017-09-20 21:33:40,fr,,0.0,1.0,,Kanyere Pierrot,,5817.0,6829.0,397.0,201.0,3.0,False,,
@moiZZaussi,"RT @paxmuhigwa: #RDC Le Mwami Ngweshe reagi apres le drame de Kamanyola
@LwarhibaM @MichelMoto1 @BillyKambale1 @LydieOmanga @SoraZiZ @sonia…",2017-09-20 21:32:56,fr,,0.0,3.0,,#10millionsDeathsDRC,#Africa #JUSTICE #NoGood #Good #Angola #NONVIOLENCE #lucha #USA #Europe #UN #DRC #GenocideinDRC #RDC #yebela #elections,10680.0,1059.0,1.0,468.0,17.0,False,,
@kanyerepierrot,"@soniarolley Personne n achetera ces passeports de la honte, tant que le SEMI-biometrique sera encore valide... trop c trop pffffff",2017-09-20 21:28:51,fr,,0.0,1.0,@soniarolley,Kanyere Pierrot,,5817.0,6829.0,397.0,201.0,3.0,False,,
